# hostname;interval;timestamp;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
plotter1;60;2021-12-31 06:35:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:36:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:37:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:38:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:39:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:40:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:41:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:42:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:43:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:44:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:45:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:46:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:47:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:48:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:49:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:50:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:51:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:52:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:53:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:54:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:55:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:56:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:57:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:58:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 06:59:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:00:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:01:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:02:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:03:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:04:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:05:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:06:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:07:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:08:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:09:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:10:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:11:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:12:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:13:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:14:14;130704888;432640;0.33;12284;2.84
plotter1;60;2021-12-31 07:15:14;130704888;432640;0.33;12284;2.84
