HOSTNAME,SCENARIO,TESTCASE,START_RUN,LOG_INITIATE_SYNC,LOG_START_SYNC,LOG_DUST_START_SYNC,LOG_DUST_STOP_SYNC,SQLITE_DB_SIZE_BYTES,DESCRIPTION
plotter1,DUSTSTORM1,AUTOTEST12,2021-12-31T01:38:43,2021-12-31T01:39:02,2021-12-31T01:40:42,2021-12-31T01:41:07,2021-12-31T02:20:03,22397583360,"Only full blocks height + peak index; use synchronous=off"
plotter1,DUSTSTORM1,AUTOTEST13,2021-12-31T02:20:20,2021-12-31T02:20:38,2021-12-31T02:22:34,2021-12-31T02:23:02,2021-12-31T03:02:07,22398107648,"Only full blocks height + peak index; use locking_mode=exclusive"
plotter1,DUSTSTORM1,AUTOTEST14,2021-12-31T03:02:15,2021-12-31T03:02:33,2021-12-31T03:03:57,2021-12-31T03:04:25,2021-12-31T03:43:39,22398107648,"Only full blocks height + peak index; use cache_spill=false"
plotter1,DUSTSTORM1,AUTOTEST15,2021-12-31T03:43:47,2021-12-31T03:44:06,2021-12-31T03:46:52,2021-12-31T03:47:19,2021-12-31T04:26:13,22398631936,"Only full blocks height + peak index; cache_size=2G"
plotter1,DUSTSTORM1,AUTOTEST16,2021-12-31T04:26:21,2021-12-31T04:26:40,2021-12-31T04:28:08,2021-12-31T04:28:35,2021-12-31T05:07:24,22398107648,"Only full blocks height + peak index; cache_size=2G and cache_spill=false"
plotter1,DUSTSTORM1,AUTOTEST17,2021-12-31T05:07:31,2021-12-31T05:08:23,2021-12-31T05:11:32,2021-12-31T05:12:01,2021-12-31T05:51:39,22494052352,"Only full blocks height + peak index; page_size=512"
plotter1,DUSTSTORM1,AUTOTEST18,2021-12-31T05:51:46,2021-12-31T05:52:31,2021-12-31T05:54:21,2021-12-31T05:54:50,2021-12-31T06:34:07,22531276800,"Only full blocks height + peak index; page_size=1024"
plotter1,DUSTSTORM1,AUTOTEST19,2021-12-31T06:34:14,2021-12-31T06:34:56,2021-12-31T06:36:13,2021-12-31T06:36:41,2021-12-31T07:16:00,22638755840,"Only full blocks height + peak index; page_size=2048"
plotter1,DUSTSTORM1,AUTOTEST20,2021-12-31T07:16:08,2021-12-31T07:16:46,2021-12-31T07:18:34,2021-12-31T07:19:02,2021-12-31T07:58:18,22416457728,"Only full blocks height + peak index; page_size=8192"
plotter1,DUSTSTORM1,AUTOTEST21,2021-12-31T07:58:26,2021-12-31T07:59:04,2021-12-31T08:00:16,2021-12-31T08:00:42,2021-12-31T08:40:11,22354067456,"Only full blocks height + peak index; page_size=16384"
plotter1,DUSTSTORM1,AUTOTEST22,2021-12-31T08:40:19,2021-12-31T08:40:55,2021-12-31T08:44:06,2021-12-31T08:44:33,2021-12-31T09:24:35,22514499584,"Only full blocks height + peak index; page_size=32768"
plotter1,DUSTSTORM1,AUTOTEST23,2021-12-31T09:24:42,2021-12-31T09:25:20,2021-12-31T09:26:36,2021-12-31T09:27:24,2021-12-31T10:08:28,22771924992,"Only full blocks height + peak index; page_size=65536"
plotter1,DUSTSTORM1,AUTOTEST24,2021-12-31T10:08:36,2021-12-31T10:08:55,2021-12-31T10:11:27,2021-12-31T10:11:54,2021-12-31T10:50:55,22397583360,"Only full blocks height + peak index; journal_mode=off"
plotter1,DUSTSTORM1,AUTOTEST25,2021-12-31T10:51:02,2021-12-31T10:51:20,2021-12-31T10:52:32,2021-12-31T10:52:59,2021-12-31T11:32:05,22398107648,"Only full blocks height + peak index; uncommitted=true"
