# hostname,interval,timestamp,DEV,tps,rkB/s,wkB/s,dkB/s,areq-sz,aqu-sz,await,%util
plotter1,60,2022-01-02 23:57:02,nvme1n1,56.77,9086.93,7702.53,8130.87,439.00,0.03,0.54,2.65
plotter1,60,2022-01-02 23:57:02,nvme0n1,57.35,9049.60,7713.13,8129.80,434.05,0.03,0.46,2.49
plotter1,60,2022-01-02 23:57:02,nvme2n1,56.25,9048.53,7702.53,8128.40,442.30,0.02,0.38,2.63
plotter1,60,2022-01-02 23:57:02,sda,4.02,197.47,0.00,0.00,49.16,0.01,3.64,0.60
plotter1,60,2022-01-02 23:57:02,sdb,9.23,407.80,0.00,0.00,44.17,0.05,5.12,1.88
plotter1,60,2022-01-02 23:57:02,sdc,17.28,865.33,0.00,0.00,50.07,0.11,6.22,3.74
plotter1,60,2022-01-02 23:57:02,sdd,7.83,377.27,0.00,0.00,48.16,0.03,3.99,1.61
plotter1,60,2022-01-02 23:57:02,sde,43.42,1580.87,126.53,0.00,39.33,0.03,0.65,1.59
plotter1,60,2022-01-02 23:57:02,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:57:02,sde2,43.42,1580.87,126.53,0.00,39.33,0.03,0.65,1.59
plotter1,60,2022-01-02 23:57:02,sdf,10.80,500.53,0.00,0.00,46.35,0.05,4.88,2.40
plotter1,60,2022-01-02 23:57:02,sdg,18.40,924.87,0.00,0.00,50.26,0.10,5.64,4.56
plotter1,60,2022-01-02 23:57:02,sdh,6.57,441.93,0.67,0.00,67.40,0.03,4.38,1.93
plotter1,60,2022-01-02 23:57:02,sdi,6.03,352.27,0.00,0.00,58.39,0.03,4.96,1.57
plotter1,60,2022-01-02 23:57:02,dm-0,791.97,27185.07,23119.20,24389.07,94.31,0.66,0.84,3.04
plotter1,60,2022-01-02 23:57:02,sdj,9.77,633.27,0.00,0.00,64.84,0.11,11.03,4.62
plotter1,60,2022-01-02 23:57:02,sdk,7.75,393.27,0.00,0.00,50.74,0.05,6.02,2.60
plotter1,60,2022-01-02 23:57:02,sdl,8.37,450.60,0.00,0.00,53.86,0.07,8.68,3.29
plotter1,60,2022-01-02 23:57:02,sdm,5.30,255.19,0.00,0.00,48.15,0.03,6.55,2.12
plotter1,60,2022-01-02 23:57:02,sdo,1.15,37.79,0.00,0.00,32.86,0.01,7.74,0.51
plotter1,60,2022-01-02 23:57:02,sdp,11.53,773.67,0.00,0.00,67.08,0.13,11.06,5.14
plotter1,60,2022-01-02 23:57:02,sdq,1.85,71.73,0.00,0.00,38.77,0.01,6.63,0.70
plotter1,60,2022-01-02 23:57:02,sdr,0.03,0.07,0.00,0.00,2.00,0.00,8.00,0.03
plotter1,60,2022-01-02 23:57:02,sds,0.82,35.27,0.00,0.00,43.18,0.01,12.71,0.53
plotter1,60,2022-01-02 23:57:02,sdt,2.22,128.07,0.00,0.00,57.77,0.03,12.08,1.08
plotter1,60,2022-01-02 23:57:02,sdu,4.38,257.80,0.00,0.00,58.81,0.02,5.65,1.26
plotter1,60,2022-01-02 23:57:02,sdv,1.90,83.87,0.00,0.00,44.14,0.01,7.39,0.99
plotter1,60,2022-01-02 23:57:02,sdx,2.83,168.93,0.00,0.00,59.62,0.05,18.39,1.64
plotter1,60,2022-01-02 23:57:02,sdy,1.87,87.53,0.00,0.00,46.89,0.02,10.61,0.89
plotter1,60,2022-01-02 23:57:02,sdz,4.20,223.93,0.27,0.00,53.38,0.03,7.52,1.82
plotter1,60,2022-01-02 23:57:02,sdaa,3.28,148.33,0.00,0.00,45.18,0.03,7.68,1.26
plotter1,60,2022-01-02 23:57:02,sdab,2.27,101.79,0.00,0.00,44.91,0.02,7.29,0.94
plotter1,60,2022-01-02 23:57:02,sdn,3.65,160.07,0.00,0.00,43.85,0.03,6.86,1.49
plotter1,60,2022-01-02 23:57:02,sdac,4.42,283.40,0.27,0.00,64.23,0.03,7.29,2.09
plotter1,60,2022-01-02 23:57:02,sdad,0.23,8.33,0.00,0.00,35.71,0.00,10.14,0.17
plotter1,60,2022-01-02 23:57:02,sdae,5.15,271.27,0.27,0.00,52.72,0.06,12.11,2.80
plotter1,60,2022-01-02 23:57:02,sdaf,2.02,91.27,0.00,0.00,45.26,0.01,7.29,0.85
plotter1,60,2022-01-02 23:57:02,sdag,1.58,66.19,0.00,0.00,41.81,0.01,8.02,0.65
plotter1,60,2022-01-02 23:57:02,sdah,2.15,106.73,0.00,0.00,49.64,0.02,7.33,0.76
plotter1,60,2022-01-02 23:57:02,sdai,1.08,50.46,0.00,0.00,46.58,0.01,7.38,0.64
plotter1,60,2022-01-02 23:57:02,sdaj,3.27,190.60,0.00,0.00,58.35,0.02,7.61,1.28
plotter1,60,2022-01-02 23:57:02,sdal,4.03,208.00,0.00,0.00,51.57,0.03,8.07,1.96
plotter1,60,2022-01-02 23:57:02,sdam,0.70,31.40,0.00,0.00,44.86,0.00,6.71,0.21
plotter1,60,2022-01-02 23:57:02,sdan,0.12,1.80,0.00,0.00,15.43,0.00,6.43,0.06
plotter1,60,2022-01-02 23:57:02,sdao,1.12,65.60,0.00,0.00,58.75,0.01,6.34,0.40
plotter1,60,2022-01-02 23:57:02,sdap,2.90,151.67,0.00,0.00,52.30,0.03,8.64,1.44
plotter1,60,2022-01-02 23:57:02,sdaq,2.22,109.20,0.00,0.00,49.26,0.02,7.62,0.80
plotter1,60,2022-01-02 23:57:02,sdar,2.88,153.53,0.00,0.00,53.25,0.02,7.95,1.26
plotter1,60,2022-01-02 23:57:02,sdw,1.80,84.87,0.00,0.00,47.15,0.02,9.19,0.91
plotter1,60,2022-01-02 23:57:02,sdak,1.57,74.47,0.00,0.00,47.53,0.01,8.34,0.63
plotter1,60,2022-01-02 23:57:02,sdas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
